id,title,genres,averageRating,numVotes,releaseYear
tt0291502,"Swept Away","Comedy, Romance",3.6,18163,2002
tt6988116,Kalank,"Drama, Romance",3.6,17329,2019
tt1185266,"Stan Helsing","Comedy, Fantasy, Horror",3.6,15180,2009
tt1231277,"S. Darko","Drama, Mystery, Sci-Fi",3.6,14638,2009
tt7721946,"Housefull 4","Action, Comedy, Drama",3.6,14634,2019
tt1153706,"Dance Flick","Action, Comedy, Music",3.6,12879,2009
tt7312940,Singularity,"Action, Adventure, Drama",3.6,11764,2017
tt30007864,"The American Society of Magical Negroes","Comedy, Fantasy",3.6,11020,2024
tt9592496,Pogaru,Action,3.6,10400,2021
tt0094074,"Superman IV: The Quest for Peace","Action, Adventure, Sci-Fi",3.7,53948,1987
tt0085750,"Jaws 3-D","Adventure, Horror, Thriller",3.7,49584,1983
tt0432291,"The Fog","Horror, Mystery",3.7,39887,2005
tt0120185,"Spice World","Comedy, Family, Music",3.7,38264,1997
tt0190374,"Dungeons & Dragons","Action, Adventure, Fantasy",3.7,36722,2000
tt15387026,Destiny,"Action, Adventure, Drama",3.7,25956,2024
tt0158622,"The Flintstones in Viva Rock Vegas","Comedy, Family, Romance",3.7,25951,2000
tt0891592,"Street Fighter: The Legend of Chun-Li","Action, Crime, Fantasy",3.7,25614,2009
tt0308208,"Ballistic: Ecks vs. Sever","Action, Crime, Mystery",3.7,21285,2002
tt0283877,"American Psycho II: All American Girl","Horror, Thriller",3.7,18446,2002
tt1091617,"Expelled: No Intelligence Allowed",Documentary,3.7,12220,2008
tt5456546,"Judwaa 2","Action, Comedy, Romance",3.7,11942,2017
tt0806147,"Extreme Movie",Comedy,3.7,11672,2008
tt0800003,"Delta Farce","Action, Adventure, Comedy",3.7,11578,2007
tt3832096,"Cabin Fever","Horror, Sci-Fi, Thriller",3.7,11438,2016
tt0120389,"Turbo: A Power Rangers Movie","Action, Adventure, Family",3.7,10077,1997
tt10279472,"The Black Demon","Action, Drama, Horror",3.7,10034,2023
tt0118688,"Batman & Robin","Action, Sci-Fi",3.8,272421,1997
tt0450345,"The Wicker Man","Horror, Mystery, Thriller",3.8,72614,2006
tt0811138,"The Love Guru","Comedy, Romance, Sport",3.8,55536,2008
tt0460780,"In the Name of the King: A Dungeon Siege Tale","Action, Adventure, Fantasy",3.8,51677,2007
tt1714203,"Piranha 3DD","Comedy, Horror, Sci-Fi",3.8,46207,2012
tt0118661,"The Avengers","Action, Adventure, Sci-Fi",3.8,45931,1998
tt0275022,Crossroads,"Comedy, Drama, Romance",3.8,45177,2002
tt1530509,"The Human Centipede 2 (Full Sequence)",Horror,3.8,44356,2011
tt0424774,"The Adventures of Sharkboy and Lavagirl 3-D","Action, Adventure, Comedy",3.8,43560,2005
tt3655326,"Life Is a Dream","Documentary, Drama, Family",3.8,31265,2014
tt1467058,"Ruthless in Love","Drama, Romance, Short",3.8,31205,2009
tt0076009,"Exorcist II: The Heretic",Horror,3.8,29172,1977
tt3477064,"Recep Ivedik 4",Comedy,3.8,18901,2014
tt0094824,"Caddyshack II","Comedy, Sport",3.8,16713,1988
tt21279138,"Maid in Malacañang","Biography, Drama",3.8,15747,2022
tt1104123,"The Scorpion King 2: Rise of a Warrior","Action, Adventure, Fantasy",3.8,14901,2008
tt7897330,"Deadly Illusions","Crime, Drama, Mystery",3.8,13944,2021
tt4059702,AmeriGeddon,"Action, Adventure, Drama",3.8,13400,2016
tt1552211,"The Last Days of American Crime","Action, Crime, Drama",3.8,12584,2020
tt10598156,Dhaakad,"Action, Thriller",3.8,12162,2022
tt2292959,"The Canyons","Drama, Thriller",3.8,12132,2013
tt0489598,"The Hills",Reality-TV,3.8,11619,2006
tt8328716,"Doom: Annihilation","Action, Adventure, Horror",3.8,10673,2019
tt0107612,"Mr. Nanny","Action, Comedy, Family",3.8,10367,1993
tt0082910,"Piranha II: The Spawning","Horror, Sci-Fi, Thriller",3.8,10183,1982
tt0220506,"Halloween: Resurrection","Horror, Thriller",3.9,50832,2002
tt0052077,"Plan 9 from Outer Space","Horror, Sci-Fi",3.9,41159,1957
tt1255919,"Holmes & Watson","Comedy, Crime, Mystery",3.9,40120,2018
tt0926129,"Prom Night",Horror,3.9,38658,2008
tt18072316,"Bade Miyan Chote Miyan","Action, Adventure, Sci-Fi",3.9,38533,2024
